legacy_id,legacy_name,legacy_lat,legacy_lon,trip_count,modern_id,modern_name,match_score,match_confidence,match_distance_m
8811.01,Paul Ave & Mosholu Pkwy,40.8802945,-73.8860653648,5231,f001fac9-5f19-451e-a752-afde574a8c81,Paul Ave & Mosholu Pkwy,100.0,high,0.0
4261.03,Patchen Ave & Bainbridge St,40.68143,-73.92565,5224,c9e76fa9-54e2-4161-9798-4787bf04217a,Patchen Ave & Bainbridge St,100.0,high,0.0
8428.04,W Tremont Ave & Matthewson Rd,40.853827,-73.920765,5214,2b848257-dc2e-4dd0-b840-d5e046972789,W Tremont Ave & Matthewson Rd,100.0,high,0.0
6964.05,Ditmars Blvd & 73 St,40.76817,-73.896293,5210,28be450b-7878-4495-add2-61afd94f375a,Ditmars Blvd & 73 St,100.0,high,0.0
4375.02,Jefferson Ave & Patchen Ave,40.68609,-73.92628,5209,82b97827-1801-4b7b-b3de-16447a8dd025,Jefferson Ave & Patchen Ave,100.0,high,0.0
6104.01,55 Ave & Center Blvd,40.740288,-73.960697,5205,1880644037244334512,55 Ave & Center Blvd,100.0,high,0.0
3822.08,Schenectady Ave & President St,40.66732,-73.93398,5163,ecc52c52-e2d9-4e73-8f9c-18ad8e9b0606,Schenectady Ave & President St,100.0,high,0.0
4798.10,Stephen St & Seneca Ave,40.6988,-73.9007,5162,24f431ca-c2a5-46be-966b-b8d4c3e4b346,Stephen St & Seneca Ave,100.0,high,0.0
3620,11 St & 43 Ave,40.7519071,-73.9479119,5135,2018303498843153278,11 St & 43 Ave,94.1,high,29.4
8478.11,Jerome Ave & E 181 St,40.855653,-73.905528,5129,c04cef84-3fcd-4fd9-9e40-8e07453dbe19,Jerome Ave & E 181 St,100.0,high,0.0
4110.1,3 St & Hoyt St,40.6777287,-73.99364123,5119,66de2b2f-0aca-11e7-82f6-3863bb44ef7c,3 St & Hoyt St,100.0,high,0.0
3596,Sullivan Pl & Bedford Ave,40.6642406,-73.9574686,5115,1900647078394106472,McKeever Pl & Sullivan Pl,48.0,low,147.8
7386.1,2 Ave & E 99 St,40.7862586,-73.94552579,5087,66de10a8-0aca-11e7-82f6-3863bb44ef7c,2 Ave & E 99 St,100.0,high,0.0
2912.08,6 Ave & 60 St,40.638196,-74.013821,5078,0bd9bd58-42e6-4680-9d19-83943372221f,6 Ave & 60 St,100.0,high,0.0
3395,Henry St & W 9 St,40.6763744,-74.00324957,5076,66de48f9-0aca-11e7-82f6-3863bb44ef7c,Henry St & W 9 St,100.0,high,0.0
6779.07,W 51 St & 7 Ave,40.76167,-73.98256,5068,2004153375425087884,W 51 St & 7 Ave,100.0,high,0.0
3445,Riverside Dr & W 89 St,40.79181171501097,-73.9786022901535,5056,,,0,none,0
7966.02,E 165 St & Fox St,40.82394,-73.894025,5039,9af90faf-0b9b-451b-9cb0-20ff421ca1d9,E 165 St & Fox St,100.0,high,0.0
3097,N Henry St & Richardson St,40.71921585,-73.9424469,5025,66de73fd-0aca-11e7-82f6-3863bb44ef7c,Richardson St & N Henry St,95.3,high,23.3
6349.03,39 Ave & 56 St,40.74838,-73.90699,5006,b0239a13-649a-4d31-aa04-56b8aaeba4d4,39 Ave & 56 St,100.0,high,0.0
