puma_2010_code,puma_2020_code,puma_2020_name,intersection_area_sqft,pct_of_2010_area
3701,04208,"NYC-Bronx Community District 8--Riverdale, Kingsbridge, & Marble Hill PUMA",95205047.45435856,97.45581628867706
3701,04207,"NYC-Bronx Community District 7--Fordham, Bedford Park, & Norwood PUMA",2295953.0805787263,2.3502323417838795
3701,04112,NYC-Manhattan Community District 12--Washington Heights & Inwood PUMA,189472.00940893343,0.19395136953905442
3702,04212,"NYC-Bronx Community District 12--Wakefield, Williamsbridge, & Eastchester PUMA",137192095.01370484,73.07937021101898
3702,04208,"NYC-Bronx Community District 8--Riverdale, Kingsbridge, & Marble Hill PUMA",50297770.88692781,26.79257444875102
3702,04210,NYC-Bronx Community District 10--Co-op City & Throgs Neck PUMA,149829.71467881696,0.07981116686446701
3702,04211,NYC-Bronx Community District 11--Pelham Parkway & Morris Park PUMA,57539.44063619459,0.03065006102259288
3702,04263,"NYC-Bronx Community Districts 3 & 6--Morrisania, Tremont, Belmont, & West Farms PUMA",24862.8834988601,0.013243939948180877
3702,04207,"NYC-Bronx Community District 7--Fordham, Bedford Park, & Norwood PUMA",8166.590144162946,0.004350172394752951
3703,04210,NYC-Bronx Community District 10--Co-op City & Throgs Neck PUMA,256603582.6125612,95.87477350718322
3703,04212,"NYC-Bronx Community District 12--Wakefield, Williamsbridge, & Eastchester PUMA",10767542.870382579,4.023076074839964
3703,04209,NYC-Bronx Community District 9--Soundview & Parkchester PUMA,227377.7186899664,0.08495511659669794
3703,04211,NYC-Bronx Community District 11--Pelham Parkway & Morris Park PUMA,46022.2827844012,0.01719530138010633
3704,04211,NYC-Bronx Community District 11--Pelham Parkway & Morris Park PUMA,101331945.77690141,95.40392541270214
3704,04210,NYC-Bronx Community District 10--Co-op City & Throgs Neck PUMA,3715526.2433196986,3.4981642350680344
3704,04212,"NYC-Bronx Community District 12--Wakefield, Williamsbridge, & Eastchester PUMA",1150705.5658424327,1.0833881372150398
3704,04263,"NYC-Bronx Community Districts 3 & 6--Morrisania, Tremont, Belmont, & West Farms PUMA",15186.723250374944,0.014298284722885392
3704,04209,NYC-Bronx Community District 9--Soundview & Parkchester PUMA,237.84442935889504,0.00022393029191743
3705,04263,"NYC-Bronx Community Districts 3 & 6--Morrisania, Tremont, Belmont, & West Farms PUMA",122344657.29564019,99.88354551061204
3705,04207,"NYC-Bronx Community District 7--Fordham, Bedford Park, & Norwood PUMA",57986.005557224045,0.047340422974563236
3705,04221,"NYC-Bronx Community Districts 1 & 2--Melrose, Mott Haven, Longwood, & Hunts Point PUMA",25941.330555993525,0.02117879217998141
3705,04204,NYC-Bronx Community District 4--Highbridge & Concourse PUMA,18974.855350669775,0.01549128396670448
3705,04211,NYC-Bronx Community District 11--Pelham Parkway & Morris Park PUMA,18088.03804300588,0.01476727640587083
3705,04209,NYC-Bronx Community District 9--Soundview & Parkchester PUMA,14331.659766708022,0.011700527200721502
3705,04205,NYC-Bronx Community District 5--Morris Heights & Mount Hope PUMA,6454.741212815717,0.005269722862777408
3705,04212,"NYC-Bronx Community District 12--Wakefield, Williamsbridge, & Eastchester PUMA",865.3284255567378,0.0007064637973267896
3706,04207,"NYC-Bronx Community District 7--Fordham, Bedford Park, & Norwood PUMA",41844391.10735336,95.34562013481056
3706,04205,NYC-Bronx Community District 5--Morris Heights & Mount Hope PUMA,1830878.1492138947,4.171794783205635
3706,04112,NYC-Manhattan Community District 12--Washington Heights & Inwood PUMA,88736.23896853806,0.20219225346546416
3706,04208,"NYC-Bronx Community District 8--Riverdale, Kingsbridge, & Marble Hill PUMA",53903.75471148985,0.12282379512647632
3706,04212,"NYC-Bronx Community District 12--Wakefield, Williamsbridge, & Eastchester PUMA",35614.9173031564,0.08115129140265366
3706,04263,"NYC-Bronx Community Districts 3 & 6--Morrisania, Tremont, Belmont, & West Farms PUMA",33537.50155293796,0.07641774198920331
3707,04205,NYC-Bronx Community District 5--Morris Heights & Mount Hope PUMA,37623528.92910601,88.98430009659774
3707,04204,NYC-Bronx Community District 4--Highbridge & Concourse PUMA,2001859.70712329,4.734645845306113
3707,04207,"NYC-Bronx Community District 7--Fordham, Bedford Park, & Norwood PUMA",1678881.8214869592,3.970763192134939
3707,04263,"NYC-Bronx Community Districts 3 & 6--Morrisania, Tremont, Belmont, & West Farms PUMA",772065.0824120395,1.8260294274072988
3707,04112,NYC-Manhattan Community District 12--Washington Heights & Inwood PUMA,204750.99790530198,0.4842614385539026
3708,04204,NYC-Bronx Community District 4--Highbridge & Concourse PUMA,55638962.497551404,99.54404955631006
3708,04205,NYC-Bronx Community District 5--Morris Heights & Mount Hope PUMA,87069.92566462302,0.15577740141371083
3708,04110,NYC-Manhattan Community District 10--Harlem PUMA,82240.73426650662,0.14713746194912858
3708,04112,NYC-Manhattan Community District 12--Washington Heights & Inwood PUMA,40309.42809849747,0.07211787438344015
3708,04111,NYC-Manhattan Community District 11--East Harlem PUMA,29449.801736620622,0.05268884234896873
3708,04221,"NYC-Bronx Community Districts 1 & 2--Melrose, Mott Haven, Longwood, & Hunts Point PUMA",12542.035982574413,0.02243904263026751
3708,04263,"NYC-Bronx Community Districts 3 & 6--Morrisania, Tremont, Belmont, & West Farms PUMA",3236.151562480596,0.0057898209644271425
3709,04209,NYC-Bronx Community District 9--Soundview & Parkchester PUMA,112061028.49176283,90.2859903563106
3709,04210,NYC-Bronx Community District 10--Co-op City & Throgs Neck PUMA,11677644.404457137,9.408513416979224
3709,04263,"NYC-Bronx Community Districts 3 & 6--Morrisania, Tremont, Belmont, & West Farms PUMA",350098.3063289279,0.2820692682764171
3709,04211,NYC-Bronx Community District 11--Pelham Parkway & Morris Park PUMA,25760.072432935773,0.020754527087254608
3709,04221,"NYC-Bronx Community Districts 1 & 2--Melrose, Mott Haven, Longwood, & Hunts Point PUMA",3316.964282945106,0.0026724313464981434
3710,04221,"NYC-Bronx Community Districts 1 & 2--Melrose, Mott Haven, Longwood, & Hunts Point PUMA",137641805.196207,99.88009455816808
3710,04111,NYC-Manhattan Community District 11--East Harlem PUMA,74399.74005668538,0.0539883435949708
3710,04263,"NYC-Bronx Community Districts 3 & 6--Morrisania, Tremont, Belmont, & West Farms PUMA",62093.79419443701,0.045058505493843264
3710,04204,NYC-Bronx Community District 4--Highbridge & Concourse PUMA,13895.524689498228,0.010083319656728016
3710,04209,NYC-Bronx Community District 9--Soundview & Parkchester PUMA,8286.809172699326,0.006013342258733409
3710,04401,NYC-Queens Community District 1--Astoria & Queensbridge PUMA,5847.822848419879,0.004243486186678471
3710,04407,"NYC-Queens Community District 7--Flushing, Murray Hill, & Whitestone PUMA",714.4532310679049,0.0005184446409630314
3801,04112,NYC-Manhattan Community District 12--Washington Heights & Inwood PUMA,81058908.67625341,99.76500858162385
3801,04208,"NYC-Bronx Community District 8--Riverdale, Kingsbridge, & Marble Hill PUMA",190188.47971982634,0.23407859322602795
3801,04110,NYC-Manhattan Community District 10--Harlem PUMA,741.6689632366822,0.0009128251501331666
3802,04109,NYC-Manhattan Community District 9--Morningside Heights & Hamilton Heights PUMA,42635092.993583694,90.90803719276033
3802,04107,NYC-Manhattan Community District 7--Upper West Side PUMA,4220807.565609693,8.99975358833333
3802,04112,NYC-Manhattan Community District 12--Washington Heights & Inwood PUMA,40212.161991404544,0.0857417789253105
3802,04110,NYC-Manhattan Community District 10--Harlem PUMA,3033.1741123976412,0.006467439981037678
3803,04110,NYC-Manhattan Community District 10--Harlem PUMA,38187904.231770195,95.84653112965246
3803,04111,NYC-Manhattan Community District 11--East Harlem PUMA,1609170.4382962945,4.038802537342931
3803,04109,NYC-Manhattan Community District 9--Morningside Heights & Hamilton Heights PUMA,27442.168054892532,0.06887617080987131
3803,04112,NYC-Manhattan Community District 12--Washington Heights & Inwood PUMA,17045.592671576876,0.0427821573738124
3803,04107,NYC-Manhattan Community District 7--Upper West Side PUMA,1198.472168749675,0.0030080048209224037
3804,04111,NYC-Manhattan Community District 11--East Harlem PUMA,64584319.53934355,99.95689137027341
3804,04110,NYC-Manhattan Community District 10--Harlem PUMA,20325.124546083654,0.03145711344225787
3804,04107,NYC-Manhattan Community District 7--Upper West Side PUMA,7528.2978542929795,0.011651516284323687
3805,04108,NYC-Manhattan Community District 8--Upper East Side & Roosevelt Island PUMA,55135279.29600128,99.92615367762842
3805,04107,NYC-Manhattan Community District 7--Upper West Side PUMA,16941.97607419699,0.030705322008148316
3805,04111,NYC-Manhattan Community District 11--East Harlem PUMA,12277.722773812207,0.02225191616642914
3805,04165,"NYC-Manhattan Community Districts 5 & 6--Midtown, East Midtown, & Flatiron PUMA",11493.460207543645,0.02083053329286406
3805,04401,NYC-Queens Community District 1--Astoria & Queensbridge PUMA,32.30606137539172,5.855090415675861e-05
3806,04107,NYC-Manhattan Community District 7--Upper West Side PUMA,88470989.91299002,99.96963102843586
3806,04104,NYC-Manhattan Community District 4--Chelsea & Hell's Kitchen PUMA,19551.33528489036,0.022092437040277167
3806,04110,NYC-Manhattan Community District 10--Harlem PUMA,6072.249973722878,0.006861464870942683
3806,04165,"NYC-Manhattan Community Districts 5 & 6--Midtown, East Midtown, & Flatiron PUMA",1215.2992820906975,0.0013732526440499502
3806,04111,NYC-Manhattan Community District 11--East Harlem PUMA,34.68159236858666,3.9189185019587494e-05
3806,04108,NYC-Manhattan Community District 8--Upper East Side & Roosevelt Island PUMA,2.3255680253674926,2.6278238511422027e-06
3807,04104,NYC-Manhattan Community District 4--Chelsea & Hell's Kitchen PUMA,48053785.105252326,56.12307564218287
3807,04165,"NYC-Manhattan Community Districts 5 & 6--Midtown, East Midtown, & Flatiron PUMA",37547997.045621455,43.85313402031136
3807,04107,NYC-Manhattan Community District 7--Upper West Side PUMA,17042.677113093298,0.01990451854455247
3807,04108,NYC-Manhattan Community District 8--Upper East Side & Roosevelt Island PUMA,2407.5269211503255,0.002811803798813402
3807,04121,NYC-Manhattan Community Districts 1 & 2--Financial District & Greenwich Village PUMA,919.5948943079438,0.001074015162392875
3808,04165,"NYC-Manhattan Community Districts 5 & 6--Midtown, East Midtown, & Flatiron PUMA",44972358.78563358,99.9736961285564
3808,04108,NYC-Manhattan Community District 8--Upper East Side & Roosevelt Island PUMA,8315.390169519445,0.018485138703987377
3808,04103,NYC-Manhattan Community District 3--Lower East Side & Chinatown PUMA,2415.7193047318337,0.005370151671481766
3808,04301,NYC-Brooklyn Community District 1--Williamsburg & Greenpoint PUMA,1101.474393528265,0.002448581068137303
3809,04103,NYC-Manhattan Community District 3--Lower East Side & Chinatown PUMA,46959639.93115806,96.44000760002935
3809,04121,NYC-Manhattan Community Districts 1 & 2--Financial District & Greenwich Village PUMA,1721274.2292592872,3.5349440497170064
3809,04165,"NYC-Manhattan Community Districts 5 & 6--Midtown, East Midtown, & Flatiron PUMA",10237.526286145103,0.021024588652909338
3809,04301,NYC-Brooklyn Community District 1--Williamsburg & Greenpoint PUMA,1959.2947018717978,0.004023761600732394
3810,04121,NYC-Manhattan Community Districts 1 & 2--Financial District & Greenwich Village PUMA,79964491.36077806,99.95803592529144
3810,04306,NYC-Brooklyn Community District 6--Park Slope & Carroll Gardens PUMA,16854.846815814708,0.021069068968740546
3810,04104,NYC-Manhattan Community District 4--Chelsea & Hell's Kitchen PUMA,10280.376503170683,0.012850781970126925
3810,04165,"NYC-Manhattan Community Districts 5 & 6--Midtown, East Midtown, & Flatiron PUMA",5311.582663192472,0.006639639190251485
3810,04103,NYC-Manhattan Community District 3--Lower East Side & Chinatown PUMA,656.1686141194418,0.0008202306397133026
3810,04302,NYC-Brooklyn Community District 2--Downtown Brooklyn & Fort Greene PUMA,467.4718258756324,0.0005843539397270217
3901,04503,NYC-Staten Island Community District 3--South Shore PUMA,570963427.0247647,99.87249828953739
3901,04502,NYC-Staten Island Community District 2--Mid-Island PUMA,728917.51787566,0.12750171046260927
3902,04502,NYC-Staten Island Community District 2--Mid-Island PUMA,626291143.1263186,92.70939301547396
3902,04503,NYC-Staten Island Community District 3--South Shore PUMA,47762028.65160312,7.070176121881875
3902,04501,NYC-Staten Island Community District 1--North Shore PUMA,1489103.6652854516,0.2204308626441604
3903,04501,NYC-Staten Island Community District 1--North Shore PUMA,375453391.5925814,99.72834594558644
3903,04502,NYC-Staten Island Community District 2--Mid-Island PUMA,1022712.6009399043,0.27165405441355606
4001,04301,NYC-Brooklyn Community District 1--Williamsburg & Greenpoint PUMA,114704005.25238837,99.81674573109379
4001,04103,NYC-Manhattan Community District 3--Lower East Side & Chinatown PUMA,119796.43469210804,0.10424823644861125
4001,04165,"NYC-Manhattan Community Districts 5 & 6--Midtown, East Midtown, & Flatiron PUMA",87838.55099250229,0.07643811818527368
4001,04405,"NYC-Queens Community District 5--Ridgewood, Maspeth, & Middle Village PUMA",1754.9927834898872,0.0015272149219555436
4001,04302,NYC-Brooklyn Community District 2--Downtown Brooklyn & Fort Greene PUMA,1195.9154035433075,0.00104069935037334
4002,04304,NYC-Brooklyn Community District 4--Bushwick PUMA,56599322.72158553,80.0703993324094
4002,04301,NYC-Brooklyn Community District 1--Williamsburg & Greenpoint PUMA,13153016.25372008,18.607418131867277
4002,04303,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,891155.4396065391,1.2607071690158476
4002,04405,"NYC-Queens Community District 5--Ridgewood, Maspeth, & Middle Village PUMA",34276.630052072054,0.04849074731051464
4002,04305,NYC-Brooklyn Community District 5--East New York & Cypress Hills PUMA,9178.431352829379,0.0129846193969716
4003,04303,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,60385852.7311964,94.29874643030011
4003,04301,NYC-Brooklyn Community District 1--Williamsburg & Greenpoint PUMA,3633888.007238817,5.674691475768327
4003,04304,NYC-Brooklyn Community District 4--Bushwick PUMA,15810.0856060716,0.024689081733180077
4003,04302,NYC-Brooklyn Community District 2--Downtown Brooklyn & Fort Greene PUMA,729.9002987546155,0.0011398147095487427
4003,04316,NYC-Brooklyn Community District 16--Ocean Hill & Brownsville PUMA,469.5158446924579,0.0007331974888348166
4004,04302,NYC-Brooklyn Community District 2--Downtown Brooklyn & Fort Greene PUMA,75900400.7040223,87.6068874188256
4004,04303,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,5961655.744597813,6.88115080819458
4004,04306,NYC-Brooklyn Community District 6--Park Slope & Carroll Gardens PUMA,4736379.675590914,5.466894471748387
4004,04121,NYC-Manhattan Community Districts 1 & 2--Financial District & Greenwich Village PUMA,13071.598537289654,0.015087694542035965
4004,04301,NYC-Brooklyn Community District 1--Williamsburg & Greenpoint PUMA,13046.76785717387,0.015059034105763446
4004,04103,NYC-Manhattan Community District 3--Lower East Side & Chinatown PUMA,11893.693317696483,0.013728115290730678
4004,04308,NYC-Brooklyn Community District 8--Crown Heights (North) PUMA,1033.11496414306,0.0011924572929110856
4005,04306,NYC-Brooklyn Community District 6--Park Slope & Carroll Gardens PUMA,109191137.9648727,95.35153114409675
4005,04307,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,5200132.6491975775,4.541033452851378
4005,04308,NYC-Brooklyn Community District 8--Crown Heights (North) PUMA,74491.93333129643,0.06505033314432652
